period,content_type,target_page_or_file,source_required,status,owner,next_step
еженедельно,новости ТОС,/news/ и data/news.json,подтверждённое сообщение от ТОС или открытый официальный источник,pending,,собрать 1-2 короткие новости или явно оставить неделю без публикации
еженедельно,проверка запросов,/collection-board/ и data/priority_tos_tracking_template.csv,статус отправки и ответа по запросам,pending,,обновить отправлено ожидаем ответ получено или заблокировано
ежемесячно,карточки ТОС,/tos/ и data/toses.json,ответ председателя официальный реестр или проверенный источник,pending,,обновить подтверждённые поля без повышения verified без полной проверки
ежемесячно,фото и логотипы,/media-intake/ и data/media_intake_register.csv,файлы и разрешение на открытую публикацию,pending,,проверить новые медиа и передать разрешённые материалы в публикацию
ежемесячно,реестр ТОС,/registry-intake/ и /registry-diff/,официальный актуальный перечень 46 ТОС,pending,,сверить новые строки дубли и тип территории
ежемесячно,истории сделанного,/done/ и data/done.json,подтверждённые факты работ фото разрешения даты,pending,,подготовить одну историю результата при наличии доказательств
ежемесячно,проекты и потребности,/projects/ /needs/ и соответствующие JSON,заявка ТОС или подтверждённая потребность,pending,,обновить только актуальные потребности и закрыть устаревшие
ежеквартально,публичный отчёт,/materials/ или отдельный материал,сводка по проверенным карточкам реестру медиа и проектам,pending,,сделать короткий обзор что обновлено и что требует подтверждения
после каждого обновления,QA публикации,/post-publish-check/ и data/post_publish_qa_checklist.csv,новые URL файлы данные и домен,pending,,проверить ссылки метаданные CSV JSON noindex и домен
после получения реестра,пакетное обновление каталога,/registry-intake/ /registry-diff/ /new-tos-card/,официальный реестр и дата актуальности,blocked,,не запускать без официального источника
