discovery_id,discovered_date,source_date,source_name,source_url,candidate_type,tos_names,fact_summary,source_level,reuse_permission,status,blocker,next_step
find-001,2026-06-24,,Официальный сайт Борисоглебского городского округа,https://borisoglebsk.gosuslugi.ru/spravochnik/tos/,registry_source,,"обнаружен официальный раздел о территориальном общественном самоуправлении",primary,не применимо,blocked,"автоматическое открытие возвращает 403; содержимое и дата актуальности не проверены","открыть вручную в браузере сохранить официальный перечень и провести через registry intake"
find-002,2026-06-24,2026-03-25,Мой Борисоглебск,https://mybsk.ru/v-borisoglebske-proshla-zashhita-proektov-tos-pretenduyushhih-na-granty-do-1-5-milliona-rublej/,news_candidate,"Миролюбие; Махровка; Губари; Петровское; Макашевка","сообщается о защите пяти проектов ТОС БГО на конкурсе 2026 года",secondary,"письменное разрешение редакции требуется для использования материалов",result_source_found,"официальный результат найден; не подтверждены реализация и права на текст или фото","использовать официальный протокол для результата; запросить у ТОС сроки статус и разрешённые материалы"
find-003,2026-06-24,2024-12-02,Блокнот Борисоглебск,https://bloknotborisoglebsk.ru/news/eshche-odin-tos-poyavilsya-v-borisoglebske-1800542,registry_candidate,Просторный,"публикация сообщает о появлении страниц недавно образованного ТОС Просторный",secondary,проверить,official_confirmation_required,"нет официальной записи реестра границ председателя и разрешённых контактов","сверить с официальным разделом ТОС или получить прямое подтверждение; не создавать карточку до проверки"
find-004,2026-06-24,2025-04-02,РИА Глас Борисоглебск,https://ria-glas.ru/2025/novosti/aktivisty-tos-zashhishhali-svoi-proekty/,archive_candidate,,"сообщается о защите проектов 13 ТОС БГО: 10 сельских и 3 городских",secondary,проверить,result_check,"не приведён полный список ТОС и не зафиксированы официальные итоги конкурса","найти первичное сообщение администрации и итоговый список; использовать только для архивной справки после проверки"
find-005,2026-06-24,2026-05-22,АНО Образ будущего,https://obraz36.ru/site_data/s273/2026/2026/%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D0%B8%20%D0%A2%D0%9E%D0%A1%202026.pdf,official_result,"Миролюбие; Махровка; Губари; Петровское; Макашевка","официальный перечень подтверждает победу проекта ТОС Миролюбие Играй и побеждай с суммой 1489360 рублей; остальные четыре проекта в перечне победителей отсутствуют",primary,не применимо,verified_source,"не подтверждены сроки и текущая реализация победившего проекта; нет прямых ответов остальных ТОС","обновить матрицу результатов; запросить у ТОС статус реализации и дальнейшие планы"
find-006,2026-09-03,2026-08-20,РИА Воронеж,https://riavrn.ru/news/v-borisoglebskom-poselke-mirolyubie-blagoustroili-ploshadku-dlya-kataniya-na-rolikah/,news_candidate,Миролюбие,"публикация со ссылкой на председателя ТОС подтверждает завершение проекта Играй и побеждай: благоустроена многофункциональная площадка площадью 960 кв. м; работы заняли около полутора месяцев",secondary,"использовать только факты с атрибуцией; текст и фотографии не копировать без отдельной проверки условий использования",result_source_found,"источник подтверждает реализацию как журналистская публикация с прямым комментарием председателя, но не является официальным актом и не даёт автоматически права на повторное использование фото","обновить статус реализации проекта и проверенную новость; сохранить точную сумму гранта 1489360 рублей по первичному официальному протоколу"
find-007,2026-09-03,2026-07-03,РИА Воронеж,https://borisoglebsk.riavrn.ru/news/komissiya-konkursa-samoe-krasivoe-selo-voronezhskoj-oblasti-posetila-borisoglebskoe-selo-gubari/,news_candidate,Губари,"публикация подтверждает вхождение села Губари в топ-20 конкурса Самое красивое село Воронежской области 2026 и сообщает о восьми реализованных за пять лет проектах; отдельно указаны замена водонапорной башни в 2021 году и ремонт десяти колодцев системы водоснабжения в проектах 2022 и 2024 годов",secondary,"использовать проверяемые факты с атрибуцией; не копировать текст и фотографии без отдельного разрешения",result_source_found,"источник подтверждает результаты как журналистская публикация, но не заменяет официальный реестр ТОС и не подтверждает актуальность персональных контактов карточки","создать source-backed новость о Губарях; использовать сведения только для результатов и не повышать verification-статус всей карточки"
find-008,2026-09-03,2026-08-21,Вести Воронеж,https://vestivrn.ru/news/2026/08/21/ideyam-zhizn-kak-dom-v-borisoglebske-izmenil-oblik-gorodskoi-sredy/,news_candidate,Чкаловец,"публикация описывает девятилетнюю работу ТОС Чкаловец и сообщает о привлечении пяти миллионов рублей на проекты плюс около двух с половиной миллионов собственных средств; в материале показаны зоны отдыха парковка видеонаблюдение беседка раздельный сбор отходов памятные таблички и культурно-досуговый центр",secondary,"использовать только собственный пересказ проверяемых фактов со ссылкой; не переносить текст видео или изображения без проверки прав",result_source_found,"источник является журналистским материалом и не подтверждает автоматически все исторические утверждения карточки или персональные реквизиты","создать source-backed новость о текущих результатах Чкаловца; не использовать материал как основание для публикации или верификации персональных данных"
find-009,2026-09-03,2026-08-12,Борисоглебские вести,https://borisoglebskie-vesti.ru/?action=view&id=17124&module=articles,news_candidate,Петровское,"публикация подтверждает проведение очередного субботника в рамках проекта благоустройства территории кладбища в селе Петровское; удалялась древесная и кустарниковая растительность",secondary,"использовать факт события с атрибуцией; не копировать текст и иные материалы без проверки прав",result_check,"из публикации нельзя достоверно установить что упомянутый проект благоустройства является тем же проектом Ограждение кладбища который участвовал в конкурсе ТОС 2026 года и отсутствует в перечне победителей","сохранить как отдельный кандидат новости; не менять конкурсный статус proj-2026-004 без прямого или первичного подтверждения связи проектов"
find-010,2026-09-03,2024-09-09,РИА Воронеж,https://riavrn.ru/news/v-borisoglebskom-sele-tretyaki-ustanovili-vodonapornuyu-bashnyu/,archive_candidate,Третьяки,"публикация подтверждает установку новой водонапорной башни за счёт областного гранта 820 тыс. рублей и более 100 тыс. рублей вклада жителей и спонсоров; также перечисляет семь выигранных областных грантов и историю проектов ТОС",secondary,"использовать собственный пересказ фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник исторический и не подтверждает актуальные персональные реквизиты карточки","повысить доказательность существующей новости о семи проектах; сохранить карточку ТОС в статусе проверки"
