case_id,area,route,viewport_width,viewport_height,theme,interaction,mode,expected_check,status,evidence_ref,notes
"css-reg-001","Главная","/","1180","900","light","none","screen","Hero, карточки, портал и футер без смещений","passed","docs/visual-baseline/css-reg-001.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-002","Главная","/","1180","900","dark","toggle-theme","screen","Тёмная тема сохраняет контраст, поверхности и границы","passed","docs/visual-baseline/css-reg-002.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-003","Главная мобильная","/","360","800","light","open-menu","screen","Мобильное меню открывается, не выходит за экран и не перекрывает действия","passed","docs/visual-baseline/css-reg-003.png","Visual run 29262907242: меню открыто, aria-expanded=true, пиксельно идентично baseline"
"css-reg-004","Каталог ТОС","/tos/","1180","900","light","none","screen","Фильтры, карточки и логотипы сохраняют сетку","passed","docs/visual-baseline/css-reg-004.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-005","Каталог ТОС мобильный","/tos/","620","900","light","none","screen","Фильтры и карточки переходят в одноколоночный режим без горизонтальной прокрутки","passed","docs/visual-baseline/css-reg-005.png","Visual run 29262907242: пиксельно идентично baseline; horizontal overflow отсутствует"
"css-reg-006","Карточка ТОС","/tos/mirolyubie/","1180","900","light","none","screen","Hero, паспорт, связанные блоки и действия отображаются без смещений","passed","docs/visual-baseline/css-reg-006.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-007","Карточка ТОС мобильная","/tos/mirolyubie/","360","800","dark","none","screen","Карточки складываются в одну колонку, текст и действия читаемы","passed","docs/visual-baseline/css-reg-007.png","Visual run 29262907242: RGBA-пиксели идентичны; отличается только бинарное представление PNG"
"css-reg-008","Новости","/news/","1180","900","light","none","screen","Фильтры и список новостей сохраняют размеры и интервалы","passed","docs/visual-baseline/css-reg-008.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-009","Отдельная новость","/news/vk-community-channel-2026/","1180","900","light","none","screen","Заголовок, основной текст, источник и связанные действия читаемы","passed","docs/visual-baseline/css-reg-009.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-010","Рабочая панель","/workbench/","1180","900","light","none","screen","Сводки, карточки и рабочие действия сохраняют сетку","passed","docs/visual-baseline/css-reg-010.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-011","Табличная страница","/site-health/","1180","900","light","none","screen","Таблицы, метрики и уведомления не обрезаются","passed","docs/visual-baseline/css-reg-011.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-012","Табличная страница мобильная","/site-health/","620","900","dark","none","screen","Метрики и таблицы остаются доступными без наложений","passed","docs/visual-baseline/css-reg-012.png","Visual run 29262907242: пиксельно идентично baseline; overflow отсутствует"
"css-reg-013","Быстрые маршруты","/workbench-routes/","900","900","light","none","screen","Карточки маршрутов и группы кнопок сохраняют структуру","passed","docs/visual-baseline/css-reg-013.png","Visual run 29262907242: пиксельно идентично baseline; отчёт COMPARISON-2026-07-13.md"
"css-reg-014","Печать чек-листа","/field-checklist/","1180","900","light","print-preview","print","Шапка и кнопки скрыты, содержимое помещается на лист без обрезки","passed","docs/visual-baseline/css-reg-014.png","Visual run 29262907242: print media пиксельно идентично baseline"
